target_child_name,target_child_sex,utt_count,adj_gloss_count,appearance_word_count,without_pretty,appearance_proportion,without_pretty_proportion,competence_count,com_proportion
Aaron,male,122,17,0,0,0,0,0,0
Adam,male,336,36,1,0,0.0277777777777778,0,0,0
Alex,male,30389,4606,195,167,0.042336083369518,0.0362570560138949,5,0.000164533219256968
Alfred,male,139,17,0,0,0,0,0,0
Alice,female,3640,330,9,6,0.0272727272727273,0.0181818181818182,0,0
Allen,male,150,19,0,0,0,0,0,0
Anthony,male,81,12,0,0,0,0,0,0
Benjamin,male,1161,195,3,0,0.0153846153846154,0,0,0
Brian,male,195,19,0,0,0,0,0,0
Brooke,female,162,25,0,0,0,0,0,0
Carol,female,169,32,0,0,0,0,0,0
Danielle,female,148,17,0,0,0,0,0,0
David,male,1366,76,2,0,0.0263157894736842,0,0,0
Doug,male,143,7,0,0,0,0,0,0
Emily,female,191,23,0,0,0,0,0,0
Emma,female,275,47,2,0,0.0425531914893617,0,0,0
Erica,female,233,24,2,0,0.0833333333333333,0,0,0
Ethan,male,36291,6225,98,20,0.0157429718875502,0.00321285140562249,24,0.000661320988674878
Jarret,male,223,19,0,0,0,0,0,0
Jas,male,272,14,0,0,0,0,0,0
Jase,male,2640,227,2,0,0.00881057268722467,0,0,0
Jeff,male,155,9,5,0,0.555555555555556,0,0,0
Jessica,female,191,37,0,0,0,0,0,0
Jillian,female,3687,697,25,12,0.0358680057388809,0.0172166427546628,1,0.00027122321670735
Johnnie,male,346,23,0,0,0,0,0,0
Katie,female,144,31,0,0,0,0,0,0
Kevin,male,252,43,0,0,0,0,0,0
Kimberly,female,182,24,0,0,0,0,0,0
Laura,female,2923,374,12,4,0.0320855614973262,0.0106951871657754,0,0
Laurel,female,514,76,0,0,0,0,1,0.00194552529182879
Lily,female,57276,13036,306,178,0.0234734581159865,0.0136544952439399,57,0.000995181227739367
Martin,male,1150,140,0,0,0,0,0,0
Matt,male,4815,1122,20,6,0.017825311942959,0.0053475935828877,2,0.000415368639667705
Matthew,male,96,14,0,0,0,0,0,0
Megan,female,256,16,0,0,0,0,0,0
Naima,female,53393,10297,81,43,0.00786636884529475,0.00417597358453919,10,0.000187290468788043
Nanette,female,904,128,3,1,0.0234375,0.0078125,0,0
Nicole,female,246,24,0,0,0,0,0,0
Patricia,female,1021,156,1,0,0.00641025641025641,0,1,0.000979431929480901
Patrick,male,16,3,0,0,0,0,0,0
Peter,male,87,11,0,0,0,0,0,0
Richard,male,572,42,0,0,0,0,0,0
Rick,male,1910,139,6,1,0.0431654676258993,0.00719424460431655,1,0.000523560209424084
Robert,male,101,13,1,0,0.0769230769230769,0,1,0.0099009900990099
Roman,male,154,26,1,1,0.0384615384615385,0.0384615384615385,0,0
Ronny,male,1075,103,0,0,0,0,0,0
Sarah,female,95,21,1,0,0.0476190476190476,0,0,0
Shawna,female,71,4,0,0,0,0,0,0
Stephen,male,263,49,0,0,0,0,0,0
Tommy,male,161,20,2,0,0.1,0,0,0
Victor,male,837,150,1,0,0.00666666666666667,0,0,0
Violet,female,22689,4047,125,66,0.0308870768470472,0.0163083765752409,24,0.00105778130371546
Wendy,female,266,32,0,0,0,0,0,0
William,male,24974,3765,49,33,0.0130146082337317,0.00876494023904383,7,0.00028029150316329
Laura_Aurie,female,70,0,0,0,0,0,0,0
Scott,male,135,0,0,0,0,0,0,0
