"target_child_name","target_child_sex","gloss_count","fnoun_count","mnoun_count","mnoun_proportion","fnoun_proportion"
"Aaron","male",57,0,0,0,0
"Adam","male",201,4,0,0,0.0199004975124378
"Alex","male",19296,135,225,0.011660447761194,0.00699626865671642
"Alfred","male",91,2,2,0.021978021978022,0.021978021978022
"Alice","female",2081,106,66,0.03171552138395,0.0509370494954349
"Allen","male",108,0,0,0,0
"Anthony","male",39,0,0,0,0
"Benjamin","male",914,36,1,0.00109409190371991,0.0393873085339169
"Brian","male",89,1,0,0,0.0112359550561798
"Brooke","female",97,9,0,0,0.0927835051546392
"Carol","female",83,12,0,0,0.144578313253012
"Danielle","female",90,5,0,0,0.0555555555555556
"David","male",688,75,24,0.0348837209302326,0.109011627906977
"Doug","male",88,1,2,0.0227272727272727,0.0113636363636364
"Emily","female",142,2,0,0,0.0140845070422535
"Emma","female",180,4,3,0.0166666666666667,0.0222222222222222
"Erica","female",123,3,0,0,0.024390243902439
"Ethan","male",23210,269,715,0.0308056872037915,0.0115898319689789
"Jarret","male",99,0,1,0.0101010101010101,0
"Jas","male",185,2,1,0.00540540540540541,0.0108108108108108
"Jase","male",1777,88,71,0.039954980303883,0.0495216657287563
"Jeff","male",88,0,0,0,0
"Jessica","female",120,12,0,0,0.1
"Jillian","female",2550,75,6,0.00235294117647059,0.0294117647058824
"Johnnie","male",222,22,10,0.045045045045045,0.0990990990990991
"Katie","female",81,3,0,0,0.037037037037037
"Kevin","male",139,4,4,0.0287769784172662,0.0287769784172662
"Kimberly","female",86,4,0,0,0.0465116279069767
"Laura","female",1360,55,25,0.0183823529411765,0.0404411764705882
"Laura_Aurie","female",4,0,0,0,0
"Laurel","female",276,18,1,0.0036231884057971,0.0652173913043478
"Lily","female",38035,1289,356,0.00935980018404101,0.0338898383068227
"Martin","male",773,33,2,0.00258732212160414,0.0426908150064683
"Matt","male",3947,85,50,0.0126678489992399,0.0215353432987079
"Matthew","male",49,0,0,0,0
"Megan","female",190,2,3,0.0157894736842105,0.0105263157894737
"Naima","female",36986,964,410,0.0110852755096523,0.0260639160763532
"Nanette","female",609,15,0,0,0.0246305418719212
"Nicole","female",100,10,0,0,0.1
"Patricia","female",567,3,3,0.00529100529100529,0.00529100529100529
"Patrick","male",8,1,0,0,0.125
"Peter","male",49,1,0,0,0.0204081632653061
"Richard","male",345,1,0,0,0.00289855072463768
"Rick","male",974,51,21,0.0215605749486653,0.0523613963039014
"Robert","male",56,1,0,0,0.0178571428571429
"Roman","male",111,1,2,0.018018018018018,0.00900900900900901
"Ronny","male",721,46,47,0.0651872399445215,0.0638002773925104
"Sarah","female",51,2,0,0,0.0392156862745098
"Scott","male",91,0,0,0,0
"Shawna","female",29,3,0,0,0.103448275862069
"Stephen","male",153,0,2,0.0130718954248366,0
"Tommy","male",83,0,0,0,0
"Victor","male",504,6,2,0.00396825396825397,0.0119047619047619
"Violet","female",14361,460,52,0.00362091776338695,0.0320311955991923
"Wendy","female",195,3,1,0.00512820512820513,0.0153846153846154
"William","male",15388,160,286,0.0185859110995581,0.0103977125032493
