"gloss","target_child_name","part_of_speech","target_child_sex"
"mow the lawn okay","Benjamin","v det:art n adj",NA
"drive she's gonna drive down the hill too okay","Benjamin","pro:sub part v prep det:art n adv adj",NA
"pick the puppy up okay","Benjamin","v det:art n adv adj",NA
"other puppy up there okay","Benjamin","qn n prep n adj",NA
"down there okay","Benjamin","prep n adj",NA
"mow lawn down hill okay","Benjamin","v n prep n adj",NA
"oh this is new did they have this out last time","Benjamin","co pro:dem cop adj mod pro:sub v pro:dem prep adj n",NA
"good","Benjamin","adj",NA
"driving tractor okay","Benjamin","part n adj",NA
"what what happened what what little thing came","Benjamin","pro:int pro:int part pro:int pro:int adj n v",NA
"zoom down the hill okay","Benjamin","v prep det:art n adj",NA
"Dad didn't do a very good job","Benjamin","n:prop mod v det:art adv adj n",NA
"he go see waterfall okay","Benjamin","pro:sub v v n adj",NA
"I don't know you better go check it out","Benjamin","pro:sub mod v pro:per adj v v pro:per adv",NA
"watch out puppy okay","Benjamin","v prep n adj",NA
"oh he's driving the car okay","Benjamin","co pro:sub part det:art n adj",NA
"a lot of loud noises","Benjamin","det:art n prep adj n",NA
"he's all right okay","Benjamin","pro:sub adv adv adj",NA
"you are crazy today","Benjamin","pro:per cop adj adv:tem",NA
"gotta get more sand okay","Benjamin","mod v qn n adj",NA
"you kissed the baby okay","Benjamin","pro:per v det:art n adj",NA
"I think it's blue","Benjamin","pro:sub v pro:per adj",NA
"put more sand in there okay","Benjamin","v qn n prep n adj",NA
"what's that what does that mean","Benjamin","pro:int mod pro:dem adj",NA
"well I think I think that one's the sandbox","Benjamin","co pro:sub v pro:sub v adv adj det:art",NA
"nothing you sure","Benjamin","pro:indef pro:per adj",NA
"they're they're done eating okay","Benjamin","pro:sub part part adj",NA
"now they're leaving okay","Benjamin","adv pro:sub part adj",NA
"that's not a good idea","Benjamin","pro:dem neg det:art adj n",NA
"they're brown","Benjamin","pro:sub adj",NA
"it's hard","Benjamin","pro:per adj",NA
"he's stuck okay","Benjamin","pro:sub part adj",NA
"his dad's gonna ride the tractor okay","Benjamin","det:poss adj part v det:art n adj",NA
"he was under there okay","Benjamin","pro:sub cop prep n adj",NA
"pretty young for that","Benjamin","adv adj prep pro:dem",NA
"how about blue","Benjamin","pro:int adv adj",NA
"better fix it okay","Benjamin","adv v pro:per adj",NA
"it's a bummer","Benjamin","pro:per det:art adj",NA
"his feet don't go in there okay","Benjamin","det:poss n mod v prep n adj",NA
"you're just too little Ben","Benjamin","pro:per adj adv adj n:prop",NA
"carry him okay","Benjamin","v pro:obj adj",NA
"yeah it's just not fitting on you right","Benjamin","co pro:per adj neg part prep pro:per adj",NA
"get on tractor okay","Benjamin","v prep n adj",NA
"it was a bummer it was his little toy it had Superman with a cape and the cape comes off","Benjamin","pro:per cop det:art n pro:per cop det:poss adj n pro:per v n:prop prep det:art n coord det:art n v adv",NA
"Ryan's gonna be great with his own kid Ben","Benjamin","adj part cop adj prep det:poss adj n n:prop",NA
"what did the kitty just do","Benjamin","pro:int mod det:art n adj v",NA
"he get in van okay","Benjamin","pro:sub v prep n adj",NA
"you'll be okay","Benjamin","pro:per cop adj",NA
"didn't they do that last week","Benjamin","mod pro:sub v det:dem adj n",NA
"what's what's this little boy doing","Benjamin","pro:int det:dem adj n part",NA
"two vans how crazy is that","Benjamin","det:num n pro:rel adj cop pro:dem",NA
"what was this little boy doing","Benjamin","pro:int cop det:dem adj n part",NA
"what was the little boy doing","Benjamin","pro:int cop det:art adj n part",NA
"he's okay","Benjamin","pro:sub adj",NA
"going down the slide okay","Benjamin","part prep det:art n adj",NA
"that's good","Benjamin","pro:dem adj",NA
"hey I think the baby's right there sweetie in the car","Benjamin","co pro:sub v det:art adj n adv co prep det:art n",NA
"yeah just leave it in your pocket it's okay","Benjamin","co adv v pro:per prep det:poss n pro:per adj",NA
"fall down okay","Benjamin","v adv adj",NA
"it seems okay","Benjamin","pro:per cop adj",NA
"run on the farm okay","Benjamin","v prep det:art n adj",NA
"driving cars okay","Benjamin","part n adj",NA
"you sure","Benjamin","pro:per adj",NA
"this one's green","Benjamin","det:dem adj n",NA
"I know you do but Ryan's having a tough time you're too small","Benjamin","pro:sub v pro:per v conj n:prop part det:art adj n pro:per adv adj",NA
"at store okay","Benjamin","prep n adj",NA
"a little cart","Benjamin","det:art adj n",NA
"hey Benjy were you sad because we weren't going to see Ryan","Benjamin","co n:prop cop pro:per adj conj pro:sub aux part inf v n:prop",NA
"well we came close","Benjamin","co pro:sub v adj",NA
"maybe next week you'll try it","Benjamin","adv adj n pro:per v pro:per",NA
"she's gotta get a haircut now okay","Benjamin","pro:sub mod v det:art adv adj",NA
"his favorite ah everything's to four","Benjamin","det:poss n co adj prep det:num",NA
"what's his what's the cow's favorite show","Benjamin","pro:int det:art adj n n",NA
"is she the same as this one","Benjamin","cop pro:sub det:art adj prep det:dem pro:indef",NA
"now you got your own butt pack there","Benjamin","adv pro:per v det:poss adj n n adv",NA
"good response","Benjamin","adj n",NA
"there's little kitty","Benjamin","pro:exist adj n",NA
"where's the big horse","Benjamin","pro:int det:art adj n",NA
"he's on a horse okay","Benjamin","pro:sub prep det:art n adj",NA
"I think you're too big","Benjamin","pro:sub v pro:per adv adj",NA
"go see boy okay","Benjamin","v v n adj",NA
"I go get it okay","Benjamin","pro:sub v v pro:per adj",NA
"he will get out of that hole okay","Benjamin","pro:sub mod v adv prep det:dem n adj",NA
"a little boy there","Benjamin","det:art adj n adv",NA
"what's the little boy doing","Benjamin","pro:int det:art adj n part",NA
"he's in there okay","Benjamin","pro:sub prep n adj",NA
"uh you better you gotta find it","Benjamin","pro:per adj pro:per mod v pro:per",NA
"that's a boy okay","Benjamin","pro:dem det:art n adj",NA
"when are you gonna go on the potty","Benjamin","conj aux pro:per part v prep det:art adj",NA
"he go eat food okay","Benjamin","pro:sub v v n adj",NA
"Dad's gonna make food","Benjamin","adj part v n",NA
"oh you'll fix him up okay","Benjamin","co pro:per v pro:obj adv adj",NA
"good job","Benjamin","adj n",NA
"which one which one is Doctor_Weist's","Benjamin","pro:rel pro:indef cop adj",NA
"uhoh their van's gonna fall Ben","Benjamin","co det:poss adj part v n:prop",NA
"you better catch it","Benjamin","pro:per adj v pro:per",NA
"kitty in van okay","Benjamin","n prep n adj",NA
"way too many cool toys here","Benjamin","n adv qn adj n adv",NA
"you're okay okay good","Benjamin","pro:per adj co adj",NA
"boy gotta stay in there okay","Benjamin","co mod v prep n adj",NA
"you're gonna be the big brother Ben","Benjamin","pro:per part cop det:art adj n n:prop",NA
"due Monday Benjamin","Benjamin","adj n:prop n:prop",NA
"wow a slide in the house they're pretty lucky","Benjamin","co det:art n prep det:art n pro:sub adv adj",NA
"the little house","Benjamin","det:art adj n",NA
"mow the lawn okay","Benjamin","v det:art n adj",NA
"that wasn't very nice","Benjamin","comp cop adv adj",NA
"can the dad do something nice","Benjamin","mod det:art n v pro:indef adj",NA
"I don't think he's a little big for that carriage","Benjamin","pro:sub mod v pro:sub det:art adj adj prep det:dem n",NA
"to infinity and beyond okay","Benjamin","prep n coord adv adj",NA
"oh okay","Benjamin","co adj",NA
"that's a tough one","Benjamin","pro:dem det:art adj pro:indef",NA
"here come that big bubble","Benjamin","adv v det:dem adj n",NA
"go get more sand okay","Benjamin","v v qn n adj",NA
"tell you gotta better tell him to be careful","Benjamin","v pro:per mod adj v pro:obj inf cop co",NA
"you want that down okay","Benjamin","pro:per v adv adv adj",NA
"no that's the potty","Benjamin","co pro:dem det:art adj",NA
"what do you do in the potty","Benjamin","pro:int mod pro:per v prep det:art adj",NA
"that's a big puppy house","Benjamin","pro:dem det:art adj n n",NA
"baby wanna go pee okay","Benjamin","n v v n adj",NA
"he's too big for that","Benjamin","pro:sub adv adj prep pro:dem",NA
"puppy's awake","Benjamin","adj adj",NA
"sorry we hafta be quick today","Benjamin","adj pro:sub mod cop adv adv:tem",NA
"is that the potty","Benjamin","cop comp det:art adj",NA
"what what happened to this little farmer","Benjamin","pro:int v prep det:dem adj n",NA
"I don't know if Ryan's going to be able to understand all of this","Benjamin","pro:sub mod v comp n:prop part inf cop adj inf v pro:indef prep pro:dem",NA
"see where the it's got little buttons","Benjamin","v pro:int pro:per part adj n",NA
"you got it okay","Benjamin","pro:per v pro:per adj",NA
"oh that little farmer was upside down","Benjamin","co det:dem adj n cop adv adv",NA
"too long ago I guess that was Friday","Benjamin","adv adj post pro:sub n pro:rel cop n:prop",NA
"that's not nice","Benjamin","pro:dem neg adj",NA
"I think this seat's too big for you","Benjamin","pro:sub v det:dem n adv adj prep pro:per",NA
"you need that seat okay","Benjamin","pro:per v det:dem n adj",NA
"it's a little swimmer","Benjamin","pro:per det:art adj n",NA
"she's gonna walk okay where's she gonna walk to","Benjamin","pro:sub part n adj pro:rel pro:sub part v inf",NA
"what about the little b what about the little boy","Benjamin","pro:int prep det:art adj pro:int prep det:art adj n",NA
"Shelby's mommy","Emily","adj n",NA
"what was the doggy saying","Benjamin","pro:int cop det:art adj part",NA
"he was too big like that","Emily","pro:sub cop adv adj prep pro:dem",NA
"can you draw a big circle","Benjamin","mod pro:per v det:art adj n",NA
"you got a big piece of paper","Benjamin","pro:per v det:art adj n prep n",NA
"can you show Ryan a big circle","Benjamin","mod pro:per v n:prop det:art adj n",NA
"it's fixed okay but what what is that that you just fixed","Benjamin","pro:per part adj conj pro:int pro:int cop comp comp pro:per adv part",NA
"what's the little boy doing","Benjamin","pro:int det:art adj n part",NA
"now they're sit down okay","Benjamin","adv pro:sub v adv adj",NA
"don't eat the crayons they're yucky","Benjamin","mod v det:art n pro:sub adj",NA
"they're on the potty in there","Benjamin","pro:sub prep det:art adj prep n",NA
"this a bath okay","Benjamin","pro:dem det:art n adj",NA
"he did see a stuffed zebra at the doctor's office","Benjamin","pro:sub mod v det:art part n prep det:art adj n",NA
