"gloss","target_child_name","part_of_speech","target_child_sex"
"what did you dress up as for Halloween","Emily","pro:int mod pro:per v adv prep prep n:prop",NA
"and she gave her the pretty dress","Jillian","coord pro:sub v pro:obj det:art adj n",NA
"and she got the pretty dress and what else did she get on her feet","Jillian","coord pro:sub v det:art adj n coord pro:int post mod pro:sub v prep det:poss n",NA
"I don't have a Cinderella dress for you sweetie","Jillian","pro:sub mod v det:art n:prop n prep pro:per co",NA
"they actually did have a_lot of toys there at the hair dresser place they had tons of them it was pretty cool","Matt","pro:sub adv mod v adv prep n adv prep det:art n n n pro:sub v n prep pro:obj pro:per cop adv adj",NA
"Cinderella's fairy godmother makes her a beautiful dress for the ball","Jillian","adj n v pro:obj det:art adj n prep det:art n",NA
"can you tell her what your dress looked like","Jillian","mod pro:per v pro:obj pro:int det:poss n v prep",NA
"I think you're gonna be overdressed Aislinn",NA,"pro:sub v pro:per part cop part n:prop","female"
"dress",NA,"n","male"
"can I have the salad dressing",NA,"mod pro:sub v det:art n part","male"
"salad or salad dressing",NA,"n coord n part","male"
"get Willie settled get the babysitter and Willie introduced to each_other get by the dress shop",NA,"aux n:prop part v det:art coord n:prop v prep pro:refl v prep det:art n n","male"
"and buy a dress",NA,"coord v det:art n","male"
"gotta buy a new dress",NA,"mod v det:art adj n","male"
"she's all dressed up like a Mommy",NA,"pro:sub adv part adv prep det:art n:prop","female"
"and what is she dressed like",NA,"coord pro:int cop pro:sub part co","female"
"she's not dressed like a Mommy anymore",NA,"pro:sub neg part co det:art n:prop adv","female"
"what's she dressed like",NA,"pro:int pro:sub part co","female"
"is she dressed like a nurse",NA,"cop pro:sub part co det:art n","female"
"looks like a little girl dressed up taking somebody for a ride in a carriage",NA,"v conj det:art adj n v adv part pro:indef prep det:art n prep det:art n","male"
"that looks like a little girl dressed up like her mommy",NA,"pro:rel v prep det:art adj n v adv v pro:obj n","male"
"that's a little boy dressed up like a policeman",NA,"pro:dem det:art adj n part adv prep det:art","male"
"that's Bert dressed like a pirate",NA,"pro:dem n:prop part prep det:art n","male"
"time to get dressed",NA,"n inf aux part","male"
"but Thomas had dressed up like a dragon so Percy was right",NA,"conj n:prop aux part adv prep det:art n co n:prop cop co","male"
"wearing sunglasses getting dressed",NA,"part n part part","male"
"silly ways I like to dress",NA,"co n pro:sub v inf v","male"
"Thomas was dressed up like a dragon",NA,"n:prop aux part adv prep det:art n","male"
"yup you can dress up do you have something in your eyes sweetie_petey",NA,"co pro:per mod v adv v pro:per v pro:indef prep det:poss n wplay","male"
"an a dresser",NA,"det:art det:art n","male"
"he's dressed up ready to go to the moon",NA,"pro:sub part adv adj inf v prep det:art n","male"
"and he likes dressing up he's wearing funny clothes",NA,"coord pro:sub v part adv pro:sub part adj n:pt","male"
"he liked to tie knots in the sleeves of her pretty dresses",NA,"pro:sub v prep n n prep det:art n prep det:poss adj n","male"
"her pretty dresses stayed nice and pretty",NA,"det:poss adj n cop adj coord adv","male"
"you know how to get undressed",NA,"pro:per v pro:int inf v part","male"
"you're pretty good at getting undressed",NA,"pro:per adj adj prep n:gerund part","male"
"but getting dressed",NA,"conj part part","male"
"pretty soon you'll be big enough and you'll know how to dress yourself",NA,"adv adj pro:per cop adj adv coord pro:per v pro:int inf v pro:refl","male"
"everyday everywhere babies are dressed",NA,"adj adv n aux part","female"
"in diapers and t+shirts buntings and sleepers play suits and dresses sweaters and creepers",NA,"prep n coord n:gerund coord n n n coord n n coord co","female"
"and so did Lily when she didn't want to be a dancer or a surgeon or an ambulance driver or a pilot or a hairdresser",NA,"coord adv v n:prop conj pro:sub mod v inf cop det:art n coord det:art n coord det:art n n coord det:art n coord det:art","female"
"she's wearing a dress",NA,"pro:sub part det:art n","female"
"she has a flower on her dress",NA,"pro:sub v det:art n prep det:poss n","female"
"everyday everywhere babies are dressed",NA,"adj adv n aux part","female"
"in diapers and t+shirts buntings and sleepers play suits and dresses sweaters and creepers",NA,"prep n coord n:gerund coord n n n coord n n coord co","female"
"look I put all your teletubbies right in there and they're all dressed up",NA,"v pro:sub v qn det:poss n adv prep n coord pro:sub post part adv","male"
"yeah that's how you get dressed",NA,"co pro:dem pro:int pro:per v part","male"
"everyday everywhere babies are dressed in diapers in tee shirts xxx and slippers that baby has some toys on her car seat",NA,"adj adv n aux part prep n prep n n coord n det:dem n v qn n prep det:poss n n","female"
"play suits and dresses sweaters and creepers",NA,"n n coord v n coord co","female"
"five hippos come over dressed",NA,"det:num n v adv part","female"
"Olivia gets dressed",NA,"n:prop aux part","female"
"Olivia gets dressed she has to try on everything huh does Olivia wear a backpack",NA,"n:prop aux part pro:sub aux inf v prep pro:indef co mod n:prop v det:art","female"
"everyday everywhere babies are dressed",NA,"adj adv n aux part","female"
"play suits and dresses sweaters and creepers",NA,"n n coord n n coord co","female"
"that's Olivia getting dressed",NA,"pro:dem n:prop part part","female"
"five hippos come over dressed huh",NA,"det:num n v adv part co","female"
"everyday everywhere babies are dressed in diapers in tee shirts buntings and sleepers play suits and dresses sweaters and creepers",NA,"adj adv n aux part prep n prep n n n:gerund coord n n n coord v n coord co","female"
"you look at that and I will address the issue of the dirty ear",NA,"pro:per v prep pro:dem coord pro:sub mod v det:art n prep det:art adj n","female"
"who's wearing a dress",NA,"pro:rel part det:art n","female"
