corpus_name,target_child_name,target_child_age,target_child_sex,gloss,valid,about_child,about_female,about_male,unclear,id,corpus_id,collection_id,speaker_id,transcript_id
Providence,Alex,17.8545760693238,male,where's Elmo's mommy she's pretty,1,0,1,0,0,17267462,336,21,23473,43211
Providence,Alex,22.7889689726688,male,oh she is so pretty,1,0,1,0,0,17269009,336,21,23473,43223
Providence,Alex,19.8546171379289,male,you think it's pretty,1,0,0,0,1,17270806,336,21,23473,43216
Providence,Alex,17.8545760693238,male,she's pretty,1,0,1,0,0,17274772,336,21,23473,43211
Providence,Alex,17.8545760693238,male,she's pretty,1,0,1,0,0,17275088,336,21,23473,43211
Providence,Alex,28.361978685394,male,oh how pretty,1,0,0,0,1,17276771,336,21,23473,43232
Providence,Alex,28.361978685394,male,how pretty,1,0,0,0,1,17279117,336,21,23473,43232
Providence,Alex,19.8546171379289,male,wow it's pretty,1,0,0,0,1,17279180,336,21,23473,43216
Providence,Alex,24.3947514322676,male,yep Mommy's pretty smart I know where everything is,0,0,0,0,0,17279875,336,21,23473,43224
Providence,Alex,25.0662231257315,male,I'm looking for a pretty crayon,1,0,0,0,0,17282273,336,21,23473,43225
Providence,Alex,25.0662231257315,male,I want like a pretty violet,1,0,0,0,0,17282341,336,21,23473,43225
Providence,Alex,25.0662231257315,male,that one's kinda pretty,1,0,0,0,1,17282480,336,21,23473,43225
Providence,Alex,25.0662231257315,male,that's a little pretty too,1,0,0,0,1,17282613,336,21,23473,43225
Providence,Alex,27.460522803343,male,oh that bowl is gettin pretty full,0,0,0,0,0,17282739,336,21,23473,43229
Providence,Alex,28.361978685394,male,that's a very pretty blue,1,0,0,0,0,17285620,336,21,23473,43232
Providence,Alex,22.7889689726688,male,oh my bracelet is so pretty,1,0,0,0,0,17288399,336,21,23473,43223
Providence,Alex,27.0005544261689,male,no it's so pretty,1,0,0,0,1,17288451,336,21,23473,43230
Providence,Alex,27.0005544261689,male,oh it's so pretty,1,0,0,0,1,17288560,336,21,23473,43230
Providence,Alex,28.821947062568,male,ooh oh that's pretty with the green,1,0,0,0,1,17293414,336,21,23473,43233
Providence,Alex,30.6577137107538,male,oh that is so pretty,1,0,0,0,1,17293446,336,21,23473,43236
Providence,Alex,21.7232386701986,male,makes pretty music,1,0,0,0,0,17298934,336,21,23473,43220
Providence,Alex,23.0990369412103,male,aw how pretty look,1,0,0,0,1,17299199,336,21,23473,43218
Providence,Alex,21.7232386701986,male,very pretty,1,0,0,0,1,17299347,336,21,23473,43220
Providence,Alex,23.0990369412103,male,xxx make a pretty bracelet,1,0,0,0,0,17299520,336,21,23473,43218
Providence,Alex,23.0990369412103,male,oh it's so pretty a pretty xxx,1,0,0,0,1,17299593,336,21,23473,43218
Providence,Alex,21.7232386701986,male,this is a very pretty color,1,0,0,0,0,17300159,336,21,23473,43220
